sim_index,adaptive-help,adaptive-random,no-support,passenger-support,staff-support
0,333.0,333.0,387.0,321.0,333.0
1,321.0,321.0,512.0,451.0,321.0
10,338.0,493.0,376.0,318.0,338.0
11,323.0,323.0,531.0,323.0,323.0
12,224.0,746.0,511.0,432.0,224.0
13,318.0,316.0,558.0,432.0,318.0
14,560.0,258.0,265.0,305.0,560.0
15,262.0,262.0,547.0,262.0,262.0
16,310.0,310.0,316.0,310.0,310.0
17,380.0,380.0,643.0,380.0,380.0
18,389.0,389.0,538.0,526.0,389.0
19,377.0,252.0,509.0,391.0,354.0
2,405.0,405.0,459.0,316.0,405.0
20,314.0,314.0,528.0,314.0,314.0
21,314.0,306.0,526.0,292.0,314.0
22,266.0,266.0,516.0,512.0,266.0
23,276.0,375.0,526.0,544.0,276.0
24,294.0,373.0,563.0,505.0,294.0
25,262.0,279.0,531.0,321.0,262.0
26,420.0,420.0,513.0,511.0,420.0
27,375.0,375.0,264.0,355.0,375.0
28,321.0,321.0,537.0,582.0,321.0
29,319.0,472.0,342.0,270.0,387.0
3,293.0,293.0,312.0,386.0,293.0
30,345.0,345.0,539.0,345.0,345.0
31,319.0,319.0,527.0,319.0,319.0
32,417.0,417.0,310.0,325.0,417.0
33,267.0,267.0,552.0,267.0,267.0
34,323.0,323.0,520.0,323.0,323.0
35,377.0,470.0,520.0,331.0,377.0
36,265.0,265.0,264.0,430.0,265.0
37,461.0,461.0,514.0,561.0,461.0
38,319.0,319.0,542.0,375.0,319.0
39,325.0,325.0,550.0,262.0,270.0
4,303.0,315.0,526.0,,433.0
40,258.0,440.0,,335.0,590.0
41,264.0,521.0,541.0,264.0,264.0
42,269.0,269.0,296.0,269.0,269.0
43,317.0,432.0,533.0,535.0,317.0
44,377.0,275.0,538.0,396.0,275.0
45,555.0,555.0,370.0,555.0,555.0
46,348.0,348.0,563.0,435.0,348.0
47,278.0,278.0,301.0,278.0,278.0
48,263.0,361.0,541.0,262.0,306.0
49,261.0,288.0,556.0,437.0,261.0
5,319.0,319.0,529.0,319.0,319.0
50,433.0,274.0,530.0,274.0,433.0
51,431.0,431.0,514.0,431.0,431.0
52,261.0,424.0,545.0,535.0,261.0
53,271.0,327.0,519.0,279.0,271.0
54,317.0,317.0,543.0,317.0,317.0
55,394.0,569.0,441.0,264.0,394.0
56,374.0,374.0,579.0,368.0,374.0
57,311.0,321.0,325.0,268.0,311.0
58,396.0,267.0,512.0,267.0,396.0
59,260.0,260.0,519.0,321.0,260.0
6,440.0,440.0,1032.0,628.0,440.0
60,318.0,273.0,319.0,267.0,318.0
61,342.0,430.0,655.0,560.0,430.0
62,349.0,315.0,526.0,349.0,315.0
63,314.0,318.0,443.0,290.0,314.0
64,266.0,324.0,317.0,266.0,324.0
65,264.0,274.0,304.0,314.0,443.0
66,307.0,307.0,543.0,522.0,307.0
67,296.0,316.0,267.0,296.0,260.0
68,434.0,434.0,255.0,381.0,434.0
69,320.0,320.0,521.0,320.0,320.0
7,244.0,244.0,542.0,434.0,244.0
70,324.0,324.0,539.0,324.0,324.0
71,270.0,359.0,392.0,514.0,267.0
72,267.0,315.0,533.0,491.0,267.0
73,376.0,325.0,547.0,335.0,376.0
74,380.0,322.0,263.0,292.0,380.0
75,567.0,567.0,566.0,386.0,339.0
76,277.0,559.0,335.0,279.0,277.0
77,271.0,606.0,541.0,414.0,271.0
78,374.0,374.0,521.0,374.0,374.0
79,315.0,265.0,532.0,265.0,315.0
8,316.0,326.0,521.0,538.0,316.0
80,270.0,270.0,548.0,270.0,270.0
81,319.0,319.0,370.0,319.0,319.0
82,260.0,260.0,537.0,260.0,260.0
83,344.0,322.0,550.0,344.0,429.0
84,291.0,291.0,556.0,291.0,291.0
85,278.0,319.0,515.0,319.0,278.0
86,266.0,316.0,540.0,397.0,316.0
87,389.0,332.0,320.0,310.0,389.0
88,372.0,267.0,320.0,315.0,372.0
89,262.0,262.0,540.0,360.0,367.0
9,274.0,274.0,279.0,274.0,274.0
90,375.0,375.0,326.0,375.0,375.0
91,431.0,431.0,528.0,261.0,431.0
92,263.0,268.0,532.0,578.0,263.0
93,277.0,317.0,531.0,550.0,278.0
94,255.0,400.0,540.0,378.0,255.0
95,349.0,318.0,532.0,319.0,349.0
96,324.0,316.0,533.0,530.0,324.0
97,329.0,278.0,266.0,321.0,329.0
98,324.0,324.0,557.0,324.0,324.0
99,378.0,378.0,522.0,378.0,378.0
