sim_index,AlwaysAskHelpStrategy,AlwaysCallStaffStrategy,HelpMatrixStrategy,RandomStrategy
0,321.0,333.0,333.0,333.0
1,451.0,321.0,321.0,321.0
10,318.0,338.0,338.0,493.0
11,323.0,323.0,323.0,323.0
12,432.0,224.0,224.0,746.0
13,432.0,318.0,318.0,316.0
14,305.0,560.0,560.0,258.0
15,262.0,262.0,262.0,262.0
16,310.0,310.0,310.0,310.0
17,380.0,380.0,380.0,380.0
18,526.0,389.0,389.0,389.0
19,391.0,354.0,377.0,252.0
2,316.0,405.0,405.0,405.0
20,314.0,314.0,314.0,314.0
21,292.0,314.0,314.0,306.0
22,512.0,266.0,266.0,266.0
23,544.0,276.0,276.0,375.0
24,505.0,294.0,294.0,373.0
25,321.0,262.0,262.0,279.0
26,511.0,420.0,420.0,420.0
27,355.0,375.0,375.0,375.0
28,582.0,321.0,321.0,321.0
29,270.0,387.0,319.0,472.0
3,386.0,293.0,293.0,293.0
30,345.0,345.0,345.0,345.0
31,319.0,319.0,319.0,319.0
32,325.0,417.0,417.0,417.0
33,267.0,267.0,267.0,267.0
34,323.0,323.0,323.0,323.0
35,331.0,377.0,377.0,470.0
36,430.0,265.0,265.0,265.0
37,561.0,461.0,461.0,461.0
38,375.0,319.0,319.0,319.0
39,262.0,270.0,325.0,325.0
4,,433.0,303.0,315.0
40,335.0,590.0,258.0,440.0
41,264.0,264.0,264.0,521.0
42,269.0,269.0,269.0,269.0
43,535.0,317.0,317.0,432.0
44,396.0,275.0,377.0,275.0
45,555.0,555.0,555.0,555.0
46,435.0,348.0,348.0,348.0
47,278.0,278.0,278.0,278.0
48,262.0,306.0,263.0,361.0
49,437.0,261.0,261.0,288.0
5,319.0,319.0,319.0,319.0
50,274.0,433.0,433.0,274.0
51,431.0,431.0,431.0,431.0
52,535.0,261.0,261.0,424.0
53,279.0,271.0,271.0,327.0
54,317.0,317.0,317.0,317.0
55,264.0,394.0,394.0,569.0
56,368.0,374.0,374.0,374.0
57,268.0,311.0,311.0,321.0
58,267.0,396.0,396.0,267.0
59,321.0,260.0,260.0,260.0
6,628.0,440.0,440.0,440.0
60,267.0,318.0,318.0,273.0
61,560.0,430.0,342.0,430.0
62,349.0,315.0,349.0,315.0
63,290.0,314.0,314.0,318.0
64,266.0,324.0,266.0,324.0
65,314.0,443.0,264.0,274.0
66,522.0,307.0,307.0,307.0
67,296.0,260.0,296.0,316.0
68,381.0,434.0,434.0,434.0
69,320.0,320.0,320.0,320.0
7,434.0,244.0,244.0,244.0
70,324.0,324.0,324.0,324.0
71,514.0,267.0,270.0,359.0
72,491.0,267.0,267.0,315.0
73,335.0,376.0,376.0,325.0
74,292.0,380.0,380.0,322.0
75,386.0,339.0,567.0,567.0
76,279.0,277.0,277.0,559.0
77,414.0,271.0,271.0,606.0
78,374.0,374.0,374.0,374.0
79,265.0,315.0,315.0,265.0
8,538.0,316.0,316.0,326.0
80,270.0,270.0,270.0,270.0
81,319.0,319.0,319.0,319.0
82,260.0,260.0,260.0,260.0
83,344.0,429.0,344.0,322.0
84,291.0,291.0,291.0,291.0
85,319.0,278.0,278.0,319.0
86,397.0,316.0,266.0,316.0
87,310.0,389.0,389.0,332.0
88,315.0,372.0,372.0,267.0
89,360.0,367.0,262.0,262.0
9,274.0,274.0,274.0,274.0
90,375.0,375.0,375.0,375.0
91,261.0,431.0,431.0,431.0
92,578.0,263.0,263.0,268.0
93,550.0,278.0,277.0,317.0
94,378.0,255.0,255.0,400.0
95,319.0,349.0,349.0,318.0
96,530.0,324.0,324.0,316.0
97,321.0,329.0,329.0,278.0
98,324.0,324.0,324.0,324.0
99,378.0,378.0,378.0,378.0
