sim_index,adaptive-help@fall-length=100$fall-chance=0.05,adaptive-help@fall-length=100$fall-chance=0.5,adaptive-help@fall-length=100$fall-chance=1,adaptive-help@fall-length=300$fall-chance=0.05,adaptive-help@fall-length=300$fall-chance=0.5,adaptive-help@fall-length=300$fall-chance=1,adaptive-help@fall-length=500$fall-chance=0.05,adaptive-help@fall-length=500$fall-chance=0.5,adaptive-help@fall-length=500$fall-chance=1,adaptive-help@fall-length=700$fall-chance=0.05,adaptive-help@fall-length=700$fall-chance=0.5,adaptive-help@fall-length=700$fall-chance=1,adaptive-help@fall-length=900$fall-chance=0.05,adaptive-help@fall-length=900$fall-chance=0.5,adaptive-help@fall-length=900$fall-chance=1,no-support@fall-length=100$fall-chance=0.05,no-support@fall-length=100$fall-chance=0.5,no-support@fall-length=100$fall-chance=1,no-support@fall-length=300$fall-chance=0.05,no-support@fall-length=300$fall-chance=0.5,no-support@fall-length=300$fall-chance=1,no-support@fall-length=500$fall-chance=0.05,no-support@fall-length=500$fall-chance=0.5,no-support@fall-length=500$fall-chance=1,no-support@fall-length=700$fall-chance=0.05,no-support@fall-length=700$fall-chance=0.5,no-support@fall-length=700$fall-chance=1,no-support@fall-length=900$fall-chance=0.05,no-support@fall-length=900$fall-chance=0.5,no-support@fall-length=900$fall-chance=1,passenger-support@fall-length=100$fall-chance=0.05,passenger-support@fall-length=100$fall-chance=0.5,passenger-support@fall-length=100$fall-chance=1,passenger-support@fall-length=300$fall-chance=0.05,passenger-support@fall-length=300$fall-chance=0.5,passenger-support@fall-length=300$fall-chance=1,passenger-support@fall-length=500$fall-chance=0.05,passenger-support@fall-length=500$fall-chance=0.5,passenger-support@fall-length=500$fall-chance=1,passenger-support@fall-length=700$fall-chance=0.05,passenger-support@fall-length=700$fall-chance=0.5,passenger-support@fall-length=700$fall-chance=1,passenger-support@fall-length=900$fall-chance=0.05,passenger-support@fall-length=900$fall-chance=0.5,passenger-support@fall-length=900$fall-chance=1,staff-support@fall-length=100$fall-chance=0.05,staff-support@fall-length=100$fall-chance=0.5,staff-support@fall-length=100$fall-chance=1,staff-support@fall-length=300$fall-chance=0.05,staff-support@fall-length=300$fall-chance=0.5,staff-support@fall-length=300$fall-chance=1,staff-support@fall-length=500$fall-chance=0.05,staff-support@fall-length=500$fall-chance=0.5,staff-support@fall-length=500$fall-chance=1,staff-support@fall-length=700$fall-chance=0.05,staff-support@fall-length=700$fall-chance=0.5,staff-support@fall-length=700$fall-chance=1,staff-support@fall-length=900$fall-chance=0.05,staff-support@fall-length=900$fall-chance=0.5,staff-support@fall-length=900$fall-chance=1
0,357.0,328.0,331.0,357.0,313.0,529.0,357.0,380.0,276.0,357.0,366.0,317.0,357.0,275.0,320.0,268.0,320.0,370.0,268.0,357.0,358.0,268.0,524.0,558.0,268.0,724.0,758.0,268.0,924.0,958.0,357.0,495.0,287.0,357.0,426.0,272.0,357.0,704.0,456.0,357.0,464.0,739.0,357.0,940.0,1029.0,357.0,328.0,322.0,357.0,313.0,367.0,357.0,380.0,615.0,357.0,366.0,436.0,357.0,275.0,290.0
1,311.0,314.0,263.0,367.0,435.0,273.0,367.0,532.0,347.0,315.0,377.0,783.0,315.0,321.0,318.0,322.0,324.0,396.0,631.0,619.0,619.0,1019.0,1023.0,1016.0,745.0,,,1811.0,,1818.0,271.0,316.0,380.0,262.0,333.0,333.0,315.0,494.0,561.0,315.0,219.0,219.0,355.0,305.0,305.0,311.0,314.0,376.0,367.0,325.0,381.0,367.0,448.0,320.0,315.0,377.0,400.0,315.0,321.0,318.0
10,377.0,363.0,522.0,316.0,277.0,359.0,321.0,320.0,567.0,321.0,567.0,300.0,261.0,365.0,529.0,276.0,267.0,357.0,355.0,614.0,329.0,555.0,1522.0,1010.0,755.0,1418.0,1409.0,955.0,,1814.0,361.0,256.0,449.0,362.0,308.0,364.0,326.0,518.0,512.0,523.0,710.0,772.0,298.0,961.0,942.0,377.0,363.0,377.0,316.0,529.0,275.0,321.0,320.0,286.0,321.0,567.0,300.0,261.0,268.0,947.0
11,374.0,318.0,364.0,374.0,289.0,264.0,374.0,575.0,616.0,374.0,756.0,319.0,374.0,924.0,1807.0,499.0,316.0,404.0,324.0,355.0,497.0,524.0,555.0,542.0,725.0,755.0,742.0,924.0,955.0,942.0,374.0,263.0,275.0,374.0,349.0,608.0,374.0,549.0,572.0,374.0,727.0,722.0,374.0,916.0,1811.0,374.0,318.0,319.0,374.0,379.0,264.0,374.0,379.0,616.0,374.0,373.0,407.0,374.0,286.0,950.0
12,279.0,304.0,376.0,314.0,314.0,264.0,255.0,318.0,521.0,333.0,276.0,723.0,331.0,317.0,326.0,376.0,325.0,321.0,352.0,457.0,341.0,552.0,549.0,541.0,752.0,749.0,741.0,952.0,949.0,941.0,370.0,258.0,391.0,318.0,383.0,324.0,331.0,267.0,525.0,391.0,262.0,724.0,265.0,398.0,924.0,279.0,304.0,311.0,319.0,314.0,490.0,255.0,318.0,521.0,333.0,678.0,722.0,331.0,317.0,326.0
13,392.0,272.0,259.0,361.0,278.0,256.0,361.0,267.0,363.0,375.0,265.0,511.0,375.0,322.0,969.0,322.0,376.0,311.0,374.0,369.0,636.0,536.0,571.0,539.0,736.0,1463.0,1432.0,936.0,1868.0,1817.0,348.0,258.0,253.0,261.0,280.0,323.0,517.0,352.0,682.0,386.0,385.0,724.0,318.0,732.0,924.0,392.0,553.0,259.0,361.0,274.0,380.0,361.0,369.0,363.0,375.0,265.0,511.0,375.0,262.0,975.0
14,468.0,264.0,498.0,375.0,348.0,320.0,333.0,392.0,258.0,336.0,397.0,268.0,336.0,312.0,988.0,230.0,278.0,320.0,333.0,336.0,447.0,533.0,536.0,649.0,733.0,736.0,851.0,933.0,937.0,1119.0,410.0,268.0,314.0,435.0,348.0,367.0,384.0,431.0,616.0,380.0,555.0,825.0,255.0,957.0,710.0,468.0,264.0,498.0,375.0,352.0,320.0,333.0,392.0,566.0,336.0,397.0,268.0,336.0,312.0,321.0
15,314.0,316.0,319.0,376.0,255.0,269.0,307.0,352.0,577.0,369.0,273.0,763.0,320.0,944.0,258.0,431.0,529.0,260.0,319.0,365.0,376.0,515.0,565.0,577.0,715.0,765.0,775.0,915.0,966.0,974.0,374.0,494.0,267.0,329.0,319.0,372.0,529.0,453.0,516.0,767.0,359.0,816.0,966.0,770.0,916.0,314.0,473.0,380.0,376.0,410.0,269.0,307.0,352.0,578.0,369.0,384.0,763.0,320.0,944.0,258.0
16,273.0,262.0,268.0,273.0,377.0,268.0,273.0,288.0,268.0,273.0,377.0,750.0,273.0,963.0,322.0,353.0,317.0,481.0,334.0,405.0,350.0,534.0,549.0,550.0,734.0,749.0,750.0,934.0,949.0,950.0,273.0,315.0,344.0,273.0,377.0,338.0,273.0,633.0,530.0,273.0,719.0,761.0,273.0,919.0,961.0,273.0,280.0,439.0,273.0,377.0,364.0,273.0,288.0,550.0,273.0,377.0,750.0,273.0,963.0,262.0
17,279.0,271.0,269.0,271.0,790.0,266.0,290.0,564.0,376.0,372.0,434.0,753.0,262.0,966.0,312.0,388.0,317.0,312.0,343.0,384.0,635.0,545.0,523.0,1043.0,743.0,723.0,1438.0,943.0,923.0,1849.0,374.0,384.0,484.0,496.0,366.0,341.0,298.0,556.0,540.0,316.0,1431.0,740.0,322.0,919.0,940.0,279.0,215.0,263.0,271.0,330.0,266.0,290.0,564.0,376.0,372.0,230.0,779.0,262.0,966.0,312.0
18,317.0,351.0,333.0,317.0,322.0,325.0,317.0,363.0,330.0,317.0,277.0,265.0,317.0,264.0,380.0,370.0,259.0,253.0,374.0,625.0,625.0,522.0,1040.0,1035.0,722.0,1441.0,,922.0,1835.0,,317.0,278.0,315.0,317.0,384.0,306.0,317.0,632.0,571.0,317.0,759.0,809.0,317.0,960.0,843.0,317.0,255.0,333.0,317.0,322.0,472.0,317.0,363.0,437.0,317.0,277.0,330.0,317.0,264.0,380.0
19,331.0,440.0,256.0,469.0,288.0,500.0,264.0,275.0,263.0,264.0,324.0,409.0,264.0,279.0,288.0,281.0,267.0,314.0,281.0,328.0,617.0,281.0,1010.0,1135.0,281.0,728.0,1532.0,281.0,1808.0,1041.0,269.0,389.0,318.0,301.0,334.0,455.0,324.0,533.0,514.0,302.0,733.0,878.0,267.0,933.0,719.0,331.0,440.0,256.0,469.0,288.0,500.0,264.0,275.0,263.0,264.0,324.0,409.0,264.0,279.0,288.0
2,263.0,320.0,269.0,333.0,391.0,318.0,310.0,429.0,343.0,315.0,313.0,257.0,320.0,377.0,908.0,302.0,337.0,305.0,627.0,358.0,373.0,1035.0,558.0,539.0,756.0,758.0,739.0,,958.0,940.0,316.0,258.0,314.0,271.0,336.0,350.0,272.0,288.0,548.0,387.0,1155.0,750.0,387.0,314.0,948.0,263.0,271.0,337.0,333.0,391.0,342.0,510.0,429.0,711.0,315.0,313.0,257.0,320.0,377.0,382.0
20,261.0,263.0,382.0,266.0,263.0,324.0,264.0,314.0,524.0,316.0,258.0,276.0,298.0,262.0,943.0,435.0,393.0,263.0,435.0,371.0,345.0,435.0,572.0,545.0,435.0,771.0,745.0,435.0,971.0,945.0,315.0,263.0,439.0,334.0,375.0,630.0,416.0,299.0,528.0,578.0,302.0,965.0,271.0,623.0,971.0,261.0,263.0,382.0,270.0,452.0,324.0,264.0,314.0,567.0,316.0,278.0,276.0,298.0,262.0,1033.0
21,377.0,290.0,280.0,383.0,314.0,315.0,272.0,401.0,349.0,375.0,262.0,499.0,268.0,376.0,315.0,325.0,378.0,306.0,330.0,354.0,348.0,529.0,554.0,548.0,729.0,754.0,748.0,929.0,956.0,948.0,378.0,322.0,312.0,257.0,313.0,459.0,471.0,518.0,539.0,370.0,713.0,1423.0,439.0,914.0,,377.0,290.0,345.0,383.0,556.0,382.0,272.0,401.0,301.0,375.0,262.0,760.0,268.0,376.0,323.0
22,270.0,494.0,269.0,315.0,320.0,378.0,299.0,301.0,495.0,299.0,435.0,724.0,268.0,261.0,438.0,263.0,273.0,280.0,263.0,330.0,343.0,263.0,531.0,543.0,263.0,730.0,743.0,263.0,930.0,943.0,284.0,327.0,324.0,322.0,271.0,672.0,273.0,601.0,518.0,380.0,742.0,774.0,740.0,920.0,1146.0,270.0,494.0,269.0,315.0,320.0,324.0,299.0,301.0,495.0,299.0,435.0,724.0,268.0,261.0,438.0
