,simulation_id,scenario,strategy,netlogo_seed,num_of_samples,num_of_robots,num_of_passengers,num_of_staff,fall_length,fall_chance,robot_persuasion_factor,max_netlogo_ticks,room_type,enable_video,param_seed,evacuation_ticks,evacuation_time,robot_actions,robot_responses,robot_contacts,success
0,no-support@num-of-passengers=400$num-of-staff=0_0,no-support@num-of-passengers=400$num-of-staff=0,,-1207807381,30,0,400,0,500,0.05,1,2000,8,False,8967,288.0,12.47,[],[],0,True
1,no-support@num-of-passengers=400$num-of-staff=0_1,no-support@num-of-passengers=400$num-of-staff=0,,-792368376,30,0,400,0,500,0.05,1,2000,8,False,8967,382.0,15.37,[],[],0,True
2,no-support@num-of-passengers=400$num-of-staff=0_2,no-support@num-of-passengers=400$num-of-staff=0,,-20676663,30,0,400,0,500,0.05,1,2000,8,False,8967,510.0,15.87,[],[],0,True
3,no-support@num-of-passengers=400$num-of-staff=0_3,no-support@num-of-passengers=400$num-of-staff=0,,-66166063,30,0,400,0,500,0.05,1,2000,8,False,8967,309.0,13.14,[],[],0,True
4,no-support@num-of-passengers=400$num-of-staff=0_4,no-support@num-of-passengers=400$num-of-staff=0,,429628137,30,0,400,0,500,0.05,1,2000,8,False,8967,371.0,16.31,[],[],0,True
5,no-support@num-of-passengers=400$num-of-staff=0_5,no-support@num-of-passengers=400$num-of-staff=0,,-799265193,30,0,400,0,500,0.05,1,2000,8,False,8967,264.0,11.93,[],[],0,True
6,no-support@num-of-passengers=400$num-of-staff=0_6,no-support@num-of-passengers=400$num-of-staff=0,,1783571257,30,0,400,0,500,0.05,1,2000,8,False,8967,274.0,12.62,[],[],0,True
7,no-support@num-of-passengers=400$num-of-staff=0_7,no-support@num-of-passengers=400$num-of-staff=0,,-1506790944,30,0,400,0,500,0.05,1,2000,8,False,8967,341.0,13.51,[],[],0,True
8,no-support@num-of-passengers=400$num-of-staff=0_8,no-support@num-of-passengers=400$num-of-staff=0,,-809848072,30,0,400,0,500,0.05,1,2000,8,False,8967,373.0,15.21,[],[],0,True
9,no-support@num-of-passengers=400$num-of-staff=0_9,no-support@num-of-passengers=400$num-of-staff=0,,-614455004,30,0,400,0,500,0.05,1,2000,8,False,8967,340.0,13.29,[],[],0,True
10,no-support@num-of-passengers=400$num-of-staff=0_10,no-support@num-of-passengers=400$num-of-staff=0,,1828517127,30,0,400,0,500,0.05,1,2000,8,False,8967,370.0,15.68,[],[],0,True
11,no-support@num-of-passengers=400$num-of-staff=0_11,no-support@num-of-passengers=400$num-of-staff=0,,1656258876,30,0,400,0,500,0.05,1,2000,8,False,8967,261.0,12.97,[],[],0,True
12,no-support@num-of-passengers=400$num-of-staff=0_12,no-support@num-of-passengers=400$num-of-staff=0,,1398172709,30,0,400,0,500,0.05,1,2000,8,False,8967,307.0,13.41,[],[],0,True
13,no-support@num-of-passengers=400$num-of-staff=0_13,no-support@num-of-passengers=400$num-of-staff=0,,-1714437294,30,0,400,0,500,0.05,1,2000,8,False,8967,518.0,24.82,[],[],0,True
14,no-support@num-of-passengers=400$num-of-staff=0_14,no-support@num-of-passengers=400$num-of-staff=0,,-1413363835,30,0,400,0,500,0.05,1,2000,8,False,8967,266.0,15.53,[],[],0,True
15,no-support@num-of-passengers=400$num-of-staff=0_15,no-support@num-of-passengers=400$num-of-staff=0,,1153484291,30,0,400,0,500,0.05,1,2000,8,False,8967,369.0,12.33,[],[],0,True
16,no-support@num-of-passengers=400$num-of-staff=0_16,no-support@num-of-passengers=400$num-of-staff=0,,-1029802839,30,0,400,0,500,0.05,1,2000,8,False,8967,530.0,14.76,[],[],0,True
17,no-support@num-of-passengers=400$num-of-staff=0_17,no-support@num-of-passengers=400$num-of-staff=0,,-1944440313,30,0,400,0,500,0.05,1,2000,8,False,8967,312.0,15.41,[],[],0,True
18,no-support@num-of-passengers=400$num-of-staff=0_18,no-support@num-of-passengers=400$num-of-staff=0,,38196769,30,0,400,0,500,0.05,1,2000,8,False,8967,294.0,13.71,[],[],0,True
19,no-support@num-of-passengers=400$num-of-staff=0_19,no-support@num-of-passengers=400$num-of-staff=0,,478676962,30,0,400,0,500,0.05,1,2000,8,False,8967,322.0,12.66,[],[],0,True
20,no-support@num-of-passengers=400$num-of-staff=0_20,no-support@num-of-passengers=400$num-of-staff=0,,-809200056,30,0,400,0,500,0.05,1,2000,8,False,8967,520.0,11.1,[],[],0,True
