,simulation_id,scenario,strategy,netlogo_seed,num_of_samples,num_of_robots,num_of_passengers,num_of_staff,fall_length,fall_chance,robot_persuasion_factor,max_netlogo_ticks,room_type,enable_video,param_seed,evacuation_ticks,evacuation_time,robot_actions,robot_responses,robot_contacts,success
0,adaptive-help@num-of-robots=0$num-of-staff=0_0,adaptive-help@num-of-robots=0$num-of-staff=0,HelpMatrixStrategy,-1521838956,5,0,800,0,500,1,1,2000,8,False,100,1016,42.16,[],[],0,True
1,adaptive-help@num-of-robots=0$num-of-staff=0_1,adaptive-help@num-of-robots=0$num-of-staff=0,HelpMatrixStrategy,-1951593213,5,0,800,0,500,1,1,2000,8,False,100,1033,53.52,[],[],0,True
2,adaptive-help@num-of-robots=0$num-of-staff=0_2,adaptive-help@num-of-robots=0$num-of-staff=0,HelpMatrixStrategy,419600195,5,0,800,0,500,1,1,2000,8,False,100,519,23.38,[],[],0,True
3,adaptive-help@num-of-robots=0$num-of-staff=0_3,adaptive-help@num-of-robots=0$num-of-staff=0,HelpMatrixStrategy,-825980112,5,0,800,0,500,1,1,2000,8,False,100,575,19.15,[],[],0,True
4,adaptive-help@num-of-robots=0$num-of-staff=0_4,adaptive-help@num-of-robots=0$num-of-staff=0,HelpMatrixStrategy,1277055225,5,0,800,0,500,1,1,2000,8,False,100,1016,95.95,[],[],0,True
5,adaptive-help@num-of-robots=0$num-of-staff=1_0,adaptive-help@num-of-robots=0$num-of-staff=1,HelpMatrixStrategy,-1521838956,5,0,800,1,500,1,1,2000,8,False,100,1013,43.03,[],[],0,True
6,adaptive-help@num-of-robots=0$num-of-staff=1_1,adaptive-help@num-of-robots=0$num-of-staff=1,HelpMatrixStrategy,-1951593213,5,0,800,1,500,1,1,2000,8,False,100,1023,49.21,[],[],0,True
7,adaptive-help@num-of-robots=0$num-of-staff=1_2,adaptive-help@num-of-robots=0$num-of-staff=1,HelpMatrixStrategy,419600195,5,0,800,1,500,1,1,2000,8,False,100,615,29.93,[],[],0,True
8,adaptive-help@num-of-robots=0$num-of-staff=1_3,adaptive-help@num-of-robots=0$num-of-staff=1,HelpMatrixStrategy,-825980112,5,0,800,1,500,1,1,2000,8,False,100,528,23.66,[],[],0,True
9,adaptive-help@num-of-robots=0$num-of-staff=1_4,adaptive-help@num-of-robots=0$num-of-staff=1,HelpMatrixStrategy,1277055225,5,0,800,1,500,1,1,2000,8,False,100,564,19.8,[],[],0,True
10,adaptive-help@num-of-robots=0$num-of-staff=2_0,adaptive-help@num-of-robots=0$num-of-staff=2,HelpMatrixStrategy,-1521838956,5,0,800,2,500,1,1,2000,8,False,100,709,21.69,[],[],0,True
11,adaptive-help@num-of-robots=0$num-of-staff=2_1,adaptive-help@num-of-robots=0$num-of-staff=2,HelpMatrixStrategy,-1951593213,5,0,800,2,500,1,1,2000,8,False,100,1010,32.23,[],[],0,True
12,adaptive-help@num-of-robots=0$num-of-staff=2_2,adaptive-help@num-of-robots=0$num-of-staff=2,HelpMatrixStrategy,419600195,5,0,800,2,500,1,1,2000,8,False,100,550,18.98,[],[],0,True
13,adaptive-help@num-of-robots=0$num-of-staff=2_3,adaptive-help@num-of-robots=0$num-of-staff=2,HelpMatrixStrategy,-825980112,5,0,800,2,500,1,1,2000,8,False,100,661,26.88,[],[],0,True
14,adaptive-help@num-of-robots=0$num-of-staff=2_4,adaptive-help@num-of-robots=0$num-of-staff=2,HelpMatrixStrategy,1277055225,5,0,800,2,500,1,1,2000,8,False,100,538,19.49,[],[],0,True
15,adaptive-help@num-of-robots=0$num-of-staff=3_0,adaptive-help@num-of-robots=0$num-of-staff=3,HelpMatrixStrategy,-1521838956,5,0,800,3,500,1,1,2000,8,False,100,652,34.61,[],[],0,True
16,adaptive-help@num-of-robots=0$num-of-staff=3_1,adaptive-help@num-of-robots=0$num-of-staff=3,HelpMatrixStrategy,-1951593213,5,0,800,3,500,1,1,2000,8,False,100,561,16.48,[],[],0,True
17,adaptive-help@num-of-robots=0$num-of-staff=3_2,adaptive-help@num-of-robots=0$num-of-staff=3,HelpMatrixStrategy,419600195,5,0,800,3,500,1,1,2000,8,False,100,565,15.39,[],[],0,True
18,adaptive-help@num-of-robots=0$num-of-staff=3_3,adaptive-help@num-of-robots=0$num-of-staff=3,HelpMatrixStrategy,-825980112,5,0,800,3,500,1,1,2000,8,False,100,570,21.89,[],[],0,True
19,adaptive-help@num-of-robots=0$num-of-staff=3_4,adaptive-help@num-of-robots=0$num-of-staff=3,HelpMatrixStrategy,1277055225,5,0,800,3,500,1,1,2000,8,False,100,1091,38.95,[],[],0,True
20,adaptive-help@num-of-robots=0$num-of-staff=4_0,adaptive-help@num-of-robots=0$num-of-staff=4,HelpMatrixStrategy,-1521838956,5,0,800,4,500,1,1,2000,8,False,100,1037,45.4,[],[],0,True
21,adaptive-help@num-of-robots=0$num-of-staff=4_1,adaptive-help@num-of-robots=0$num-of-staff=4,HelpMatrixStrategy,-1951593213,5,0,800,4,500,1,1,2000,8,False,100,690,27.39,[],[],0,True
22,adaptive-help@num-of-robots=0$num-of-staff=4_2,adaptive-help@num-of-robots=0$num-of-staff=4,HelpMatrixStrategy,419600195,5,0,800,4,500,1,1,2000,8,False,100,564,16.59,[],[],0,True
23,adaptive-help@num-of-robots=0$num-of-staff=4_3,adaptive-help@num-of-robots=0$num-of-staff=4,HelpMatrixStrategy,-825980112,5,0,800,4,500,1,1,2000,8,False,100,555,16.73,[],[],0,True
