,simulation_id,scenario,strategy,netlogo_seed,num_of_samples,num_of_robots,num_of_passengers,num_of_staff,fall_length,fall_chance,robot_persuasion_factor,max_netlogo_ticks,room_type,enable_video,param_seed,evacuation_ticks,evacuation_time,robot_actions,robot_responses,robot_contacts,success
0,adaptive-optimal@num-of-staff=2$fall-chance=0.05$robot-persuasion-factor=0_0,adaptive-optimal@num-of-staff=2$fall-chance=0.05$robot-persuasion-factor=0,OptimalStrategy,-1521838956,30,1,800,2,500,0.05,0,2000,8,False,100,250,16.25,['call-staff'],[],1,True
1,adaptive-optimal@num-of-staff=2$fall-chance=0.05$robot-persuasion-factor=0_1,adaptive-optimal@num-of-staff=2$fall-chance=0.05$robot-persuasion-factor=0,OptimalStrategy,-1951593213,30,1,800,2,500,0.05,0,2000,8,False,100,260,19.31,"['ask-help', 'call-staff']",['false'],2,True
2,adaptive-optimal@num-of-staff=2$fall-chance=0.05$robot-persuasion-factor=0_2,adaptive-optimal@num-of-staff=2$fall-chance=0.05$robot-persuasion-factor=0,OptimalStrategy,419600195,30,1,800,2,500,0.05,0,2000,8,False,100,311,15.55,[],[],0,True
3,adaptive-optimal@num-of-staff=2$fall-chance=0.05$robot-persuasion-factor=0_3,adaptive-optimal@num-of-staff=2$fall-chance=0.05$robot-persuasion-factor=0,OptimalStrategy,-825980112,30,1,800,2,500,0.05,0,2000,8,False,100,276,19.96,"['call-staff', 'call-staff']",[],2,True
4,adaptive-optimal@num-of-staff=2$fall-chance=0.05$robot-persuasion-factor=0_4,adaptive-optimal@num-of-staff=2$fall-chance=0.05$robot-persuasion-factor=0,OptimalStrategy,1277055225,30,1,800,2,500,0.05,0,2000,8,False,100,378,18.42,['call-staff'],[],1,True
5,adaptive-optimal@num-of-staff=2$fall-chance=0.05$robot-persuasion-factor=0_5,adaptive-optimal@num-of-staff=2$fall-chance=0.05$robot-persuasion-factor=0,OptimalStrategy,1892197127,30,1,800,2,500,0.05,0,2000,8,False,100,271,15.65,[],[],0,True
6,adaptive-optimal@num-of-staff=2$fall-chance=0.05$robot-persuasion-factor=0_6,adaptive-optimal@num-of-staff=2$fall-chance=0.05$robot-persuasion-factor=0,OptimalStrategy,-1433598082,30,1,800,2,500,0.05,0,2000,8,False,100,254,16.59,['call-staff'],[],1,True
7,adaptive-optimal@num-of-staff=2$fall-chance=0.05$robot-persuasion-factor=0_7,adaptive-optimal@num-of-staff=2$fall-chance=0.05$robot-persuasion-factor=0,OptimalStrategy,735996915,30,1,800,2,500,0.05,0,2000,8,False,100,392,19.16,"['call-staff', 'call-staff', 'call-staff']",[],3,True
8,adaptive-optimal@num-of-staff=2$fall-chance=0.05$robot-persuasion-factor=0_8,adaptive-optimal@num-of-staff=2$fall-chance=0.05$robot-persuasion-factor=0,OptimalStrategy,1875510750,30,1,800,2,500,0.05,0,2000,8,False,100,383,18.46,['call-staff'],[],1,True
9,adaptive-optimal@num-of-staff=2$fall-chance=0.05$robot-persuasion-factor=0_9,adaptive-optimal@num-of-staff=2$fall-chance=0.05$robot-persuasion-factor=0,OptimalStrategy,1191237709,30,1,800,2,500,0.05,0,2000,8,False,100,437,21.16,['call-staff'],[],1,True
10,adaptive-optimal@num-of-staff=2$fall-chance=0.05$robot-persuasion-factor=0_10,adaptive-optimal@num-of-staff=2$fall-chance=0.05$robot-persuasion-factor=0,OptimalStrategy,2053731975,30,1,800,2,500,0.05,0,2000,8,False,100,312,16.16,[],[],0,True
11,adaptive-optimal@num-of-staff=2$fall-chance=0.05$robot-persuasion-factor=0_11,adaptive-optimal@num-of-staff=2$fall-chance=0.05$robot-persuasion-factor=0,OptimalStrategy,1950770590,30,1,800,2,500,0.05,0,2000,8,False,100,316,19.41,"['call-staff', 'call-staff']",[],2,True
12,adaptive-optimal@num-of-staff=2$fall-chance=0.05$robot-persuasion-factor=0_12,adaptive-optimal@num-of-staff=2$fall-chance=0.05$robot-persuasion-factor=0,OptimalStrategy,-598405158,30,1,800,2,500,0.05,0,2000,8,False,100,373,16.69,[],[],0,True
