sim_index,AlwaysAskHelpStrategy,AlwaysCallStaffStrategy,HelpMatrixStrategy,RandomStrategy
0,388.925,343.4,336.075,341.4
1,413.8,343.1,345.45,372.05
10,402.85,313.2,328.925,354.2
11,476.75,349.0,381.7,354.35
12,373.025,301.9,311.95,314.775
13,447.075,367.3,357.0,372.55
14,412.875,376.0,379.85,370.2
15,417.1,352.1,383.55,403.8
16,367.45,323.5,314.475,332.45
17,399.625,335.5,330.925,341.45
18,414.55,323.8,364.675,342.3
19,428.675,333.4,362.525,365.35
2,412.3,325.7,328.05,350.825
3,419.425,364.1,372.525,353.9
4,414.3,342.7,360.475,356.75
5,413.525,341.4,343.1,371.425
6,379.025,334.3,327.15,355.0
7,390.725,361.2,366.975,346.525
8,428.0,342.9,342.225,344.275
9,444.6,335.9,340.55,391.025
