sim_index,AlwaysAskHelpStrategy,AlwaysCallStaffStrategy,OptimalStrategy,RandomStrategy
0,357.0,357.0,357.0,357.0
1,315.0,367.0,367.0,367.0
10,326.0,321.0,321.0,349.0
11,374.0,374.0,374.0,374.0
12,331.0,255.0,255.0,444.0
13,517.0,361.0,361.0,361.0
14,384.0,333.0,333.0,333.0
15,529.0,307.0,307.0,350.0
16,273.0,273.0,273.0,273.0
17,298.0,290.0,290.0,378.0
18,317.0,317.0,317.0,317.0
19,324.0,264.0,264.0,324.0
2,272.0,510.0,510.0,510.0
20,416.0,264.0,264.0,262.0
21,471.0,272.0,272.0,321.0
22,273.0,299.0,299.0,273.0
23,367.0,334.0,334.0,277.0
24,315.0,315.0,315.0,318.0
25,380.0,264.0,264.0,414.0
26,519.0,421.0,421.0,252.0
27,317.0,317.0,317.0,317.0
28,373.0,440.0,440.0,315.0
29,320.0,379.0,379.0,377.0
3,342.0,324.0,324.0,324.0
30,524.0,435.0,435.0,375.0
31,373.0,271.0,271.0,381.0
32,263.0,308.0,308.0,308.0
33,317.0,252.0,252.0,317.0
34,317.0,319.0,319.0,319.0
35,317.0,263.0,263.0,664.0
36,293.0,500.0,500.0,257.0
37,439.0,320.0,320.0,320.0
38,308.0,324.0,324.0,376.0
39,540.0,540.0,540.0,540.0
4,277.0,263.0,263.0,386.0
40,566.0,327.0,327.0,327.0
41,314.0,314.0,314.0,314.0
42,519.0,253.0,253.0,253.0
43,573.0,573.0,573.0,573.0
44,322.0,326.0,326.0,326.0
45,343.0,409.0,409.0,409.0
46,536.0,316.0,316.0,316.0
47,433.0,433.0,433.0,433.0
48,323.0,558.0,558.0,272.0
49,261.0,655.0,655.0,261.0
5,394.0,380.0,380.0,394.0
6,568.0,284.0,284.0,384.0
7,318.0,318.0,318.0,318.0
8,763.0,373.0,373.0,370.0
9,321.0,368.0,368.0,255.0
