sim_index,AlwaysAskHelpStrategy,AlwaysCallStaffStrategy,OptimalStrategy
0,506.46666666666664,365.1333333333333,348.0
1,332.2,350.3333333333333,375.8666666666667
10,510.8,388.53333333333336,384.3333333333333
11,577.4666666666667,410.73333333333335,540.1333333333333
12,408.73333333333335,387.8666666666667,350.06666666666666
13,449.53333333333336,405.0,375.06666666666666
14,483.6666666666667,369.2,392.8666666666667
15,549.8,433.1333333333333,400.8
16,484.1333333333333,401.0,367.2
17,567.1333333333333,385.0,431.6666666666667
18,496.1333333333333,334.53333333333336,319.6666666666667
19,484.6,327.6,327.6
2,459.6,370.06666666666666,364.4
20,487.26666666666665,370.6666666666667,347.6
21,530.5714285714286,378.06666666666666,338.4
22,552.9333333333333,367.46666666666664,371.06666666666666
23,559.8,466.8666666666667,334.1333333333333
24,483.3333333333333,331.3333333333333,331.3333333333333
25,542.2142857142857,417.8666666666667,351.1333333333333
26,547.9333333333333,346.53333333333336,329.2
27,449.3333333333333,368.4,341.06666666666666
28,486.93333333333334,415.1333333333333,406.8
29,484.06666666666666,419.53333333333336,381.8666666666667
3,499.06666666666666,365.6666666666667,365.6666666666667
4,506.0,347.1333333333333,333.1333333333333
5,470.4,389.2,385.06666666666666
6,568.6,347.46666666666664,382.73333333333335
7,454.3333333333333,357.93333333333334,346.2
8,652.3333333333334,382.6,436.1333333333333
9,407.1333333333333,471.8,461.73333333333335
