sim_index,adaptive-optimal@num-of-passengers=1200$num-of-staff=0,adaptive-optimal@num-of-passengers=1200$num-of-staff=1,adaptive-optimal@num-of-passengers=1200$num-of-staff=10,adaptive-optimal@num-of-passengers=1200$num-of-staff=5,adaptive-optimal@num-of-passengers=400$num-of-staff=0,adaptive-optimal@num-of-passengers=400$num-of-staff=1,adaptive-optimal@num-of-passengers=400$num-of-staff=10,adaptive-optimal@num-of-passengers=400$num-of-staff=5,adaptive-optimal@num-of-passengers=800$num-of-staff=0,adaptive-optimal@num-of-passengers=800$num-of-staff=1,adaptive-optimal@num-of-passengers=800$num-of-staff=10,adaptive-optimal@num-of-passengers=800$num-of-staff=5,adaptive-random@num-of-passengers=1200$num-of-staff=0,adaptive-random@num-of-passengers=1200$num-of-staff=1,adaptive-random@num-of-passengers=1200$num-of-staff=10,adaptive-random@num-of-passengers=1200$num-of-staff=5,adaptive-random@num-of-passengers=400$num-of-staff=0,adaptive-random@num-of-passengers=400$num-of-staff=1,adaptive-random@num-of-passengers=400$num-of-staff=10,adaptive-random@num-of-passengers=400$num-of-staff=5,adaptive-random@num-of-passengers=800$num-of-staff=0,adaptive-random@num-of-passengers=800$num-of-staff=1,adaptive-random@num-of-passengers=800$num-of-staff=10,adaptive-random@num-of-passengers=800$num-of-staff=5,no-support@num-of-passengers=1200$num-of-staff=0,no-support@num-of-passengers=1200$num-of-staff=1,no-support@num-of-passengers=1200$num-of-staff=10,no-support@num-of-passengers=1200$num-of-staff=5,no-support@num-of-passengers=400$num-of-staff=0,no-support@num-of-passengers=400$num-of-staff=1,no-support@num-of-passengers=400$num-of-staff=10,no-support@num-of-passengers=400$num-of-staff=5,no-support@num-of-passengers=800$num-of-staff=0,no-support@num-of-passengers=800$num-of-staff=1,no-support@num-of-passengers=800$num-of-staff=10,no-support@num-of-passengers=800$num-of-staff=5,passenger-support@num-of-passengers=1200$num-of-staff=0,passenger-support@num-of-passengers=1200$num-of-staff=1,passenger-support@num-of-passengers=1200$num-of-staff=10,passenger-support@num-of-passengers=1200$num-of-staff=5,passenger-support@num-of-passengers=400$num-of-staff=0,passenger-support@num-of-passengers=400$num-of-staff=1,passenger-support@num-of-passengers=400$num-of-staff=10,passenger-support@num-of-passengers=400$num-of-staff=5,passenger-support@num-of-passengers=800$num-of-staff=0,passenger-support@num-of-passengers=800$num-of-staff=1,passenger-support@num-of-passengers=800$num-of-staff=10,passenger-support@num-of-passengers=800$num-of-staff=5,staff-support@num-of-passengers=1200$num-of-staff=0,staff-support@num-of-passengers=1200$num-of-staff=1,staff-support@num-of-passengers=1200$num-of-staff=10,staff-support@num-of-passengers=1200$num-of-staff=5,staff-support@num-of-passengers=400$num-of-staff=0,staff-support@num-of-passengers=400$num-of-staff=1,staff-support@num-of-passengers=400$num-of-staff=10,staff-support@num-of-passengers=400$num-of-staff=5,staff-support@num-of-passengers=800$num-of-staff=0,staff-support@num-of-passengers=800$num-of-staff=1,staff-support@num-of-passengers=800$num-of-staff=10,staff-support@num-of-passengers=800$num-of-staff=5
0,572.0,254.0,377.0,311.0,524.0,433.0,270.0,379.0,536.0,583.0,357.0,377.0,548.0,269.0,265.0,374.0,524.0,320.0,270.0,311.0,540.0,583.0,357.0,377.0,542.0,534.0,528.0,576.0,288.0,526.0,329.0,250.0,525.0,513.0,268.0,567.0,334.0,370.0,853.0,881.0,318.0,516.0,270.0,352.0,398.0,565.0,357.0,377.0,572.0,269.0,377.0,311.0,524.0,433.0,270.0,379.0,536.0,583.0,357.0,377.0
1,517.0,323.0,370.0,275.0,270.0,314.0,274.0,268.0,264.0,262.0,367.0,267.0,517.0,282.0,302.0,317.0,270.0,314.0,274.0,268.0,264.0,262.0,367.0,375.0,585.0,543.0,,608.0,382.0,383.0,529.0,428.0,479.0,374.0,1019.0,540.0,255.0,272.0,408.0,316.0,270.0,314.0,274.0,296.0,264.0,251.0,315.0,315.0,517.0,323.0,370.0,275.0,270.0,314.0,274.0,268.0,264.0,262.0,367.0,267.0
10,535.0,266.0,374.0,374.0,261.0,214.0,293.0,320.0,521.0,322.0,321.0,262.0,535.0,520.0,270.0,261.0,261.0,214.0,293.0,436.0,521.0,322.0,250.0,307.0,542.0,535.0,554.0,527.0,370.0,434.0,280.0,316.0,526.0,521.0,555.0,537.0,425.0,308.0,285.0,544.0,261.0,214.0,293.0,341.0,370.0,322.0,326.0,542.0,535.0,320.0,416.0,374.0,261.0,214.0,293.0,320.0,521.0,322.0,321.0,262.0
11,544.0,310.0,282.0,339.0,267.0,260.0,322.0,267.0,511.0,263.0,374.0,434.0,544.0,326.0,376.0,315.0,267.0,260.0,322.0,267.0,511.0,263.0,374.0,315.0,517.0,544.0,591.0,542.0,261.0,313.0,370.0,374.0,543.0,571.0,524.0,507.0,266.0,541.0,583.0,363.0,267.0,260.0,322.0,267.0,313.0,255.0,374.0,297.0,544.0,311.0,282.0,339.0,267.0,260.0,322.0,267.0,511.0,263.0,374.0,434.0
12,515.0,309.0,406.0,375.0,263.0,295.0,385.0,263.0,285.0,334.0,255.0,315.0,515.0,270.0,406.0,274.0,263.0,295.0,385.0,263.0,285.0,314.0,383.0,562.0,526.0,581.0,520.0,532.0,307.0,699.0,347.0,262.0,530.0,298.0,552.0,378.0,295.0,501.0,261.0,381.0,263.0,295.0,385.0,263.0,285.0,567.0,331.0,412.0,515.0,261.0,406.0,375.0,263.0,295.0,385.0,263.0,285.0,334.0,255.0,315.0
13,576.0,275.0,326.0,320.0,381.0,425.0,297.0,254.0,547.0,263.0,361.0,262.0,576.0,328.0,261.0,375.0,381.0,425.0,297.0,254.0,547.0,263.0,517.0,395.0,555.0,551.0,524.0,582.0,518.0,368.0,412.0,263.0,533.0,547.0,536.0,513.0,593.0,535.0,318.0,376.0,381.0,425.0,297.0,254.0,352.0,263.0,517.0,270.0,576.0,275.0,326.0,320.0,381.0,425.0,297.0,254.0,547.0,263.0,361.0,411.0
14,565.0,408.0,1090.0,314.0,277.0,308.0,254.0,373.0,529.0,268.0,333.0,391.0,565.0,408.0,1090.0,314.0,277.0,308.0,254.0,373.0,311.0,268.0,333.0,391.0,559.0,566.0,600.0,558.0,266.0,264.0,285.0,531.0,370.0,529.0,533.0,517.0,368.0,267.0,,344.0,277.0,308.0,254.0,373.0,311.0,415.0,384.0,319.0,565.0,408.0,,314.0,277.0,308.0,254.0,373.0,529.0,268.0,333.0,391.0
15,529.0,369.0,315.0,249.0,315.0,451.0,614.0,371.0,521.0,285.0,307.0,363.0,529.0,588.0,286.0,321.0,315.0,451.0,614.0,371.0,521.0,264.0,259.0,263.0,521.0,540.0,544.0,531.0,369.0,340.0,508.0,264.0,524.0,521.0,515.0,547.0,426.0,314.0,303.0,279.0,315.0,451.0,614.0,371.0,307.0,370.0,529.0,419.0,529.0,298.0,315.0,249.0,315.0,451.0,614.0,371.0,521.0,285.0,307.0,363.0
16,575.0,493.0,260.0,275.0,308.0,369.0,344.0,283.0,537.0,232.0,273.0,264.0,533.0,425.0,340.0,279.0,308.0,369.0,344.0,283.0,537.0,232.0,273.0,264.0,523.0,556.0,522.0,537.0,530.0,250.0,420.0,318.0,268.0,536.0,534.0,522.0,538.0,340.0,383.0,304.0,308.0,369.0,344.0,283.0,340.0,232.0,273.0,264.0,575.0,493.0,260.0,272.0,308.0,369.0,344.0,283.0,537.0,232.0,273.0,264.0
17,585.0,443.0,554.0,350.0,412.0,262.0,254.0,375.0,552.0,435.0,290.0,274.0,585.0,443.0,261.0,603.0,412.0,262.0,254.0,375.0,552.0,435.0,378.0,274.0,1051.0,1032.0,519.0,525.0,312.0,350.0,266.0,292.0,373.0,261.0,545.0,546.0,261.0,268.0,516.0,441.0,412.0,262.0,254.0,401.0,552.0,435.0,298.0,552.0,585.0,443.0,554.0,350.0,412.0,262.0,254.0,375.0,552.0,435.0,290.0,274.0
