,simulation_id,scenario,strategy,netlogo_seed,num_of_samples,num_of_robots,num_of_passengers,num_of_staff,fall_length,fall_chance,robot_persuasion_factor,max_netlogo_ticks,room_type,enable_video,param_seed,evacuation_ticks,evacuation_time,robot_actions,robot_responses,robot_contacts,success
0,adaptive-optimal@num-of-robots=0$num-of-staff=0_0,adaptive-optimal@num-of-robots=0$num-of-staff=0,OptimalStrategy,-1521838956,5,0,800,0,500,1,1,2000,8,False,100,1016,42.16,[],[],0,True
1,adaptive-optimal@num-of-robots=0$num-of-staff=0_1,adaptive-optimal@num-of-robots=0$num-of-staff=0,OptimalStrategy,-1951593213,5,0,800,0,500,1,1,2000,8,False,100,1033,53.52,[],[],0,True
2,adaptive-optimal@num-of-robots=0$num-of-staff=0_2,adaptive-optimal@num-of-robots=0$num-of-staff=0,OptimalStrategy,419600195,5,0,800,0,500,1,1,2000,8,False,100,519,23.38,[],[],0,True
3,adaptive-optimal@num-of-robots=0$num-of-staff=0_3,adaptive-optimal@num-of-robots=0$num-of-staff=0,OptimalStrategy,-825980112,5,0,800,0,500,1,1,2000,8,False,100,575,19.15,[],[],0,True
4,adaptive-optimal@num-of-robots=0$num-of-staff=0_4,adaptive-optimal@num-of-robots=0$num-of-staff=0,OptimalStrategy,1277055225,5,0,800,0,500,1,1,2000,8,False,100,1016,95.95,[],[],0,True
5,adaptive-optimal@num-of-robots=0$num-of-staff=1_0,adaptive-optimal@num-of-robots=0$num-of-staff=1,OptimalStrategy,-1521838956,5,0,800,1,500,1,1,2000,8,False,100,1013,43.03,[],[],0,True
6,adaptive-optimal@num-of-robots=0$num-of-staff=1_1,adaptive-optimal@num-of-robots=0$num-of-staff=1,OptimalStrategy,-1951593213,5,0,800,1,500,1,1,2000,8,False,100,1023,49.21,[],[],0,True
7,adaptive-optimal@num-of-robots=0$num-of-staff=1_2,adaptive-optimal@num-of-robots=0$num-of-staff=1,OptimalStrategy,419600195,5,0,800,1,500,1,1,2000,8,False,100,615,29.93,[],[],0,True
8,adaptive-optimal@num-of-robots=0$num-of-staff=1_3,adaptive-optimal@num-of-robots=0$num-of-staff=1,OptimalStrategy,-825980112,5,0,800,1,500,1,1,2000,8,False,100,528,23.66,[],[],0,True
9,adaptive-optimal@num-of-robots=0$num-of-staff=1_4,adaptive-optimal@num-of-robots=0$num-of-staff=1,OptimalStrategy,1277055225,5,0,800,1,500,1,1,2000,8,False,100,564,19.8,[],[],0,True
10,adaptive-optimal@num-of-robots=0$num-of-staff=2_0,adaptive-optimal@num-of-robots=0$num-of-staff=2,OptimalStrategy,-1521838956,5,0,800,2,500,1,1,2000,8,False,100,709,21.69,[],[],0,True
11,adaptive-optimal@num-of-robots=0$num-of-staff=2_1,adaptive-optimal@num-of-robots=0$num-of-staff=2,OptimalStrategy,-1951593213,5,0,800,2,500,1,1,2000,8,False,100,1010,32.23,[],[],0,True
12,adaptive-optimal@num-of-robots=0$num-of-staff=2_2,adaptive-optimal@num-of-robots=0$num-of-staff=2,OptimalStrategy,419600195,5,0,800,2,500,1,1,2000,8,False,100,550,18.98,[],[],0,True
13,adaptive-optimal@num-of-robots=0$num-of-staff=2_3,adaptive-optimal@num-of-robots=0$num-of-staff=2,OptimalStrategy,-825980112,5,0,800,2,500,1,1,2000,8,False,100,661,26.88,[],[],0,True
14,adaptive-optimal@num-of-robots=0$num-of-staff=2_4,adaptive-optimal@num-of-robots=0$num-of-staff=2,OptimalStrategy,1277055225,5,0,800,2,500,1,1,2000,8,False,100,538,19.49,[],[],0,True
15,adaptive-optimal@num-of-robots=0$num-of-staff=3_0,adaptive-optimal@num-of-robots=0$num-of-staff=3,OptimalStrategy,-1521838956,5,0,800,3,500,1,1,2000,8,False,100,652,34.61,[],[],0,True
16,adaptive-optimal@num-of-robots=0$num-of-staff=3_1,adaptive-optimal@num-of-robots=0$num-of-staff=3,OptimalStrategy,-1951593213,5,0,800,3,500,1,1,2000,8,False,100,561,16.48,[],[],0,True
17,adaptive-optimal@num-of-robots=0$num-of-staff=3_2,adaptive-optimal@num-of-robots=0$num-of-staff=3,OptimalStrategy,419600195,5,0,800,3,500,1,1,2000,8,False,100,565,15.39,[],[],0,True
18,adaptive-optimal@num-of-robots=0$num-of-staff=3_3,adaptive-optimal@num-of-robots=0$num-of-staff=3,OptimalStrategy,-825980112,5,0,800,3,500,1,1,2000,8,False,100,570,21.89,[],[],0,True
19,adaptive-optimal@num-of-robots=0$num-of-staff=3_4,adaptive-optimal@num-of-robots=0$num-of-staff=3,OptimalStrategy,1277055225,5,0,800,3,500,1,1,2000,8,False,100,1091,38.95,[],[],0,True
20,adaptive-optimal@num-of-robots=0$num-of-staff=4_0,adaptive-optimal@num-of-robots=0$num-of-staff=4,OptimalStrategy,-1521838956,5,0,800,4,500,1,1,2000,8,False,100,1037,45.4,[],[],0,True
21,adaptive-optimal@num-of-robots=0$num-of-staff=4_1,adaptive-optimal@num-of-robots=0$num-of-staff=4,OptimalStrategy,-1951593213,5,0,800,4,500,1,1,2000,8,False,100,690,27.39,[],[],0,True
22,adaptive-optimal@num-of-robots=0$num-of-staff=4_2,adaptive-optimal@num-of-robots=0$num-of-staff=4,OptimalStrategy,419600195,5,0,800,4,500,1,1,2000,8,False,100,564,16.59,[],[],0,True
23,adaptive-optimal@num-of-robots=0$num-of-staff=4_3,adaptive-optimal@num-of-robots=0$num-of-staff=4,OptimalStrategy,-825980112,5,0,800,4,500,1,1,2000,8,False,100,555,16.73,[],[],0,True
24,adaptive-optimal@num-of-robots=0$num-of-staff=4_4,adaptive-optimal@num-of-robots=0$num-of-staff=4,OptimalStrategy,1277055225,5,0,800,4,500,1,1,2000,8,False,100,552,16.05,[],[],0,True
25,adaptive-optimal@num-of-robots=0$num-of-staff=5_0,adaptive-optimal@num-of-robots=0$num-of-staff=5,OptimalStrategy,-1521838956,5,0,800,5,500,1,1,2000,8,False,100,521,20.07,[],[],0,True
26,adaptive-optimal@num-of-robots=0$num-of-staff=5_1,adaptive-optimal@num-of-robots=0$num-of-staff=5,OptimalStrategy,-1951593213,5,0,800,5,500,1,1,2000,8,False,100,1015,34.05,[],[],0,True
27,adaptive-optimal@num-of-robots=0$num-of-staff=5_2,adaptive-optimal@num-of-robots=0$num-of-staff=5,OptimalStrategy,419600195,5,0,800,5,500,1,1,2000,8,False,100,569,15.64,[],[],0,True
28,adaptive-optimal@num-of-robots=0$num-of-staff=5_3,adaptive-optimal@num-of-robots=0$num-of-staff=5,OptimalStrategy,-825980112,5,0,800,5,500,1,1,2000,8,False,100,1026,52.51,[],[],0,True
29,adaptive-optimal@num-of-robots=0$num-of-staff=5_4,adaptive-optimal@num-of-robots=0$num-of-staff=5,OptimalStrategy,1277055225,5,0,800,5,500,1,1,2000,8,False,100,765,25.54,[],[],0,True
30,adaptive-optimal@num-of-robots=0$num-of-staff=6_0,adaptive-optimal@num-of-robots=0$num-of-staff=6,OptimalStrategy,-1521838956,5,0,800,6,500,1,1,2000,8,False,100,552,17.39,[],[],0,True
31,adaptive-optimal@num-of-robots=0$num-of-staff=6_1,adaptive-optimal@num-of-robots=0$num-of-staff=6,OptimalStrategy,-1951593213,5,0,800,6,500,1,1,2000,8,False,100,512,17.99,[],[],0,True
32,adaptive-optimal@num-of-robots=0$num-of-staff=6_2,adaptive-optimal@num-of-robots=0$num-of-staff=6,OptimalStrategy,419600195,5,0,800,6,500,1,1,2000,8,False,100,524,21.68,[],[],0,True
33,adaptive-optimal@num-of-robots=0$num-of-staff=6_3,adaptive-optimal@num-of-robots=0$num-of-staff=6,OptimalStrategy,-825980112,5,0,800,6,500,1,1,2000,8,False,100,543,29.59,[],[],0,True
34,adaptive-optimal@num-of-robots=0$num-of-staff=6_4,adaptive-optimal@num-of-robots=0$num-of-staff=6,OptimalStrategy,1277055225,5,0,800,6,500,1,1,2000,8,False,100,583,20.8,[],[],0,True
35,adaptive-optimal@num-of-robots=0$num-of-staff=7_0,adaptive-optimal@num-of-robots=0$num-of-staff=7,OptimalStrategy,-1521838956,5,0,800,7,500,1,1,2000,8,False,100,681,19.86,[],[],0,True
36,adaptive-optimal@num-of-robots=0$num-of-staff=7_1,adaptive-optimal@num-of-robots=0$num-of-staff=7,OptimalStrategy,-1951593213,5,0,800,7,500,1,1,2000,8,False,100,521,16.49,[],[],0,True
37,adaptive-optimal@num-of-robots=0$num-of-staff=7_2,adaptive-optimal@num-of-robots=0$num-of-staff=7,OptimalStrategy,419600195,5,0,800,7,500,1,1,2000,8,False,100,1019,49.07,[],[],0,True
38,adaptive-optimal@num-of-robots=0$num-of-staff=7_3,adaptive-optimal@num-of-robots=0$num-of-staff=7,OptimalStrategy,-825980112,5,0,800,7,500,1,1,2000,8,False,100,1019,43.49,[],[],0,True
39,adaptive-optimal@num-of-robots=0$num-of-staff=7_4,adaptive-optimal@num-of-robots=0$num-of-staff=7,OptimalStrategy,1277055225,5,0,800,7,500,1,1,2000,8,False,100,1088,90.94,[],[],0,True
40,adaptive-optimal@num-of-robots=0$num-of-staff=8_0,adaptive-optimal@num-of-robots=0$num-of-staff=8,OptimalStrategy,-1521838956,5,0,800,8,500,1,1,2000,8,False,100,683,20.6,[],[],0,True
41,adaptive-optimal@num-of-robots=0$num-of-staff=8_1,adaptive-optimal@num-of-robots=0$num-of-staff=8,OptimalStrategy,-1951593213,5,0,800,8,500,1,1,2000,8,False,100,1018,100.75,[],[],0,True
42,adaptive-optimal@num-of-robots=0$num-of-staff=8_2,adaptive-optimal@num-of-robots=0$num-of-staff=8,OptimalStrategy,419600195,5,0,800,8,500,1,1,2000,8,False,100,1034,62.2,[],[],0,True
43,adaptive-optimal@num-of-robots=0$num-of-staff=8_3,adaptive-optimal@num-of-robots=0$num-of-staff=8,OptimalStrategy,-825980112,5,0,800,8,500,1,1,2000,8,False,100,544,19.39,[],[],0,True
44,adaptive-optimal@num-of-robots=0$num-of-staff=8_4,adaptive-optimal@num-of-robots=0$num-of-staff=8,OptimalStrategy,1277055225,5,0,800,8,500,1,1,2000,8,False,100,557,21.75,[],[],0,True
